vial_id,temperature,diet,sex,rep,ind,lifespan,status
1,21,0.4,male,1,1,56,1
1,21,0.4,male,1,2,63,1
1,21,0.4,male,1,3,63,1
1,21,0.4,male,1,4,66,1
1,21,0.4,male,1,5,84,1
1,21,0.4,male,1,6,87,1
1,21,0.4,male,1,7,94,1
1,21,0.4,male,1,8,101,1
1,21,0.4,male,1,9,101,1
1,21,0.4,male,1,10,101,1
2,21,0.4,male,2,1,24,1
2,21,0.4,male,2,2,24,1
2,21,0.4,male,2,3,56,1
2,21,0.4,male,2,4,66,1
2,21,0.4,male,2,5,66,1
2,21,0.4,male,2,6,68,1
2,21,0.4,male,2,7,70,1
2,21,0.4,male,2,8,73,1
2,21,0.4,male,2,9,82,1
2,21,0.4,male,2,10,117,1
3,21,0.4,male,3,1,56,1
3,21,0.4,male,3,2,63,1
3,21,0.4,male,3,3,77,1
3,21,0.4,male,3,4,82,1
3,21,0.4,male,3,5,84,1
3,21,0.4,male,3,6,94,1
3,21,0.4,male,3,7,101,1
3,21,0.4,male,3,8,101,1
3,21,0.4,male,3,9,105,1
3,21,0.4,male,3,10,108,1
4,21,0.4,male,4,1,12,1
4,21,0.4,male,4,2,26,1
4,21,0.4,male,4,3,54,1
4,21,0.4,male,4,4,59,1
4,21,0.4,male,4,5,59,1
4,21,0.4,male,4,6,75,1
4,21,0.4,male,4,7,82,1
4,21,0.4,male,4,8,103,1
4,21,0.4,male,4,9,108,1
4,21,0.4,male,4,10,129,1
5,21,0.4,male,5,1,59,1
5,21,0.4,male,5,2,61,1
5,21,0.4,male,5,3,73,1
5,21,0.4,male,5,4,80,1
5,21,0.4,male,5,5,82,1
5,21,0.4,male,5,6,87,1
5,21,0.4,male,5,7,94,1
5,21,0.4,male,5,8,94,1
5,21,0.4,male,5,9,108,1
5,21,0.4,male,5,10,119,1
6,21,0.4,male,6,1,47,1
6,21,0.4,male,6,2,49,1
6,21,0.4,male,6,3,59,1
6,21,0.4,male,6,4,59,1
6,21,0.4,male,6,5,66,1
6,21,0.4,male,6,6,75,1
6,21,0.4,male,6,7,87,1
6,21,0.4,male,6,8,108,1
6,21,0.4,male,6,9,110,1
6,21,0.4,male,6,10,133,1
7,21,0.4,male,7,1,75,1
7,21,0.4,male,7,2,75,1
7,21,0.4,male,7,3,75,1
7,21,0.4,male,7,4,87,1
7,21,0.4,male,7,5,94,1
7,21,0.4,male,7,6,98,1
7,21,0.4,male,7,7,101,1
7,21,0.4,male,7,8,101,1
7,21,0.4,male,7,9,110,1
7,21,0.4,male,7,10,112,1
8,21,0.4,male,8,1,45,1
8,21,0.4,male,8,2,52,1
8,21,0.4,male,8,3,59,1
8,21,0.4,male,8,4,68,1
8,21,0.4,male,8,5,73,1
8,21,0.4,male,8,6,75,1
8,21,0.4,male,8,7,75,1
8,21,0.4,male,8,8,82,1
8,21,0.4,male,8,9,94,1
8,21,0.4,male,8,10,105,1
9,21,0.4,male,9,1,47,1
9,21,0.4,male,9,2,59,1
9,21,0.4,male,9,3,61,1
9,21,0.4,male,9,4,63,1
9,21,0.4,male,9,5,63,1
9,21,0.4,male,9,6,68,1
9,21,0.4,male,9,7,68,1
9,21,0.4,male,9,8,70,1
9,21,0.4,male,9,9,73,1
9,21,0.4,male,9,10,98,1
10,21,0.4,male,10,1,24,1
10,21,0.4,male,10,2,47,1
10,21,0.4,male,10,3,61,1
10,21,0.4,male,10,4,61,1
10,21,0.4,male,10,5,80,1
10,21,0.4,male,10,6,80,1
10,21,0.4,male,10,7,89,1
10,21,0.4,male,10,8,96,1
10,21,0.4,male,10,9,101,1
10,21,0.4,male,10,10,108,1
11,21,0.4,female,1,1,24,1
11,21,0.4,female,1,2,26,1
11,21,0.4,female,1,3,26,1
11,21,0.4,female,1,4,26,1
11,21,0.4,female,1,5,38,1
11,21,0.4,female,1,6,38,1
