generation,vial_id,temperature,diet,sex,rep,age,eggs
F0,12,21,0.4,female,2,12,1
F0,13,21,0.4,female,3,12,0
F0,14,21,0.4,female,4,12,14
F0,15,21,0.4,female,5,12,24
F0,16,21,0.4,female,6,12,0
F0,17,21,0.4,female,7,12,7
F0,18,21,0.4,female,8,12,1
F0,19,21,0.4,female,9,12,0
F0,20,21,0.4,female,10,12,6
F0,31,21,1,female,1,12,37
F0,32,21,1,female,2,12,20
F0,33,21,1,female,3,12,17
F0,34,21,1,female,4,12,37
F0,35,21,1,female,5,12,12
F0,36,21,1,female,6,12,24
F0,37,21,1,female,7,12,24
F0,38,21,1,female,8,12,14
F0,39,21,1,female,9,12,28
F0,40,21,1,female,10,12,30
F0,51,21,1.5,female,1,12,41
F0,52,21,1.5,female,2,12,48
F0,53,21,1.5,female,3,12,57
F0,54,21,1.5,female,4,12,84
F0,55,21,1.5,female,5,12,51
F0,56,21,1.5,female,6,12,39
F0,57,21,1.5,female,7,12,42
F0,58,21,1.5,female,8,12,22
F0,59,21,1.5,female,9,12,75
F0,60,21,1.5,female,10,12,24
F0,71,23,0.4,female,1,12,0
F0,72,23,0.4,female,2,12,0
F0,73,23,0.4,female,3,12,0
F0,74,23,0.4,female,4,12,0
F0,75,23,0.4,female,5,12,1
F0,76,23,0.4,female,6,12,3
F0,77,23,0.4,female,7,12,0
F0,78,23,0.4,female,8,12,0
F0,79,23,0.4,female,9,12,0
F0,80,23,0.4,female,10,12,1
F0,91,23,1,female,1,12,13
F0,92,23,1,female,2,12,22
F0,93,23,1,female,3,12,39
F0,94,23,1,female,4,12,19
F0,95,23,1,female,5,12,58
F0,96,23,1,female,6,12,26
F0,97,23,1,female,7,12,59
F0,98,23,1,female,8,12,43
F0,99,23,1,female,9,12,14
F0,100,23,1,female,10,12,47
F0,111,23,1.5,female,1,12,120
F0,112,23,1.5,female,2,12,88
F0,113,23,1.5,female,3,12,10
F0,114,23,1.5,female,4,12,30
F0,115,23,1.5,female,5,12,60
F0,116,23,1.5,female,6,12,38
F0,117,23,1.5,female,7,12,35
F0,118,23,1.5,female,8,12,96
F0,119,23,1.5,female,9,12,42
F0,120,23,1.5,female,10,12,51
F0,131,25,0.4,female,1,12,0
F0,132,25,0.4,female,2,12,0
F0,133,25,0.4,female,3,12,1
F0,134,25,0.4,female,4,12,0
F0,135,25,0.4,female,5,12,3
F0,136,25,0.4,female,6,12,0
F0,137,25,0.4,female,7,12,0
F0,138,25,0.4,female,8,12,0
F0,139,25,0.4,female,9,12,0
F0,140,25,0.4,female,10,12,0
F0,151,25,1,female,1,12,5
F0,152,25,1,female,2,12,2
F0,153,25,1,female,3,12,5
F0,154,25,1,female,4,12,4
F0,155,25,1,female,5,12,1
F0,156,25,1,female,6,12,2
F0,157,25,1,female,7,12,5
F0,158,25,1,female,8,12,4
F0,159,25,1,female,9,12,0
F0,160,25,1,female,10,12,0
F0,171,25,1.5,female,1,12,0
F0,172,25,1.5,female,2,12,0
F0,173,25,1.5,female,3,12,0
F0,174,25,1.5,female,4,12,0
F0,175,25,1.5,female,5,12,6
F0,176,25,1.5,female,6,12,69
F0,177,25,1.5,female,7,12,70
F0,178,25,1.5,female,8,12,0
F0,179,25,1.5,female,9,12,0
F0,180,25,1.5,female,10,12,1
F0,191,27,0.4,female,1,12,0
F0,192,27,0.4,female,2,12,0
F0,193,27,0.4,female,3,12,2
F0,194,27,0.4,female,4,12,0
F0,195,27,0.4,female,5,12,0
F0,196,27,0.4,female,6,12,0
F0,197,27,0.4,female,7,12,1
F0,198,27,0.4,female,8,12,1
F0,199,27,0.4,female,9,12,0
F0,200,27,0.4,female,10,12,1
F0,211,27,1,female,1,12,0
F0,212,27,1,female,2,12,2
F0,213,27,1,female,3,12,0
F0,214,27,1,female,4,12,42
F0,215,27,1,female,5,12,1
F0,216,27,1,female,6,12,3
F0,217,27,1,female,7,12,2
F0,218,27,1,female,8,12,3
F0,219,27,1,female,9,12,4
F0,220,27,1,female,10,12,3
F0,231,27,1.5,female,1,12,12
F0,232,27,1.5,female,2,12,2
F0,233,27,1.5,female,3,12,19
F0,234,27,1.5,female,4,12,6
F0,235,27,1.5,female,5,12,4
F0,236,27,1.5,female,6,12,13
F0,237,27,1.5,female,7,12,0
F0,238,27,1.5,female,8,12,4
F0,239,27,1.5,female,9,12,1
F0,240,27,1.5,female,10,12,4
F0,251,29,0.4,female,1,12,0
F0,252,29,0.4,female,2,12,10
F0,253,29,0.4,female,3,12,0
F0,254,29,0.4,female,4,12,6
F0,255,29,0.4,female,5,12,1
F0,256,29,0.4,female,6,12,2
F0,257,29,0.4,female,7,12,6
F0,258,29,0.4,female,8,12,20
F0,259,29,0.4,female,9,12,10
F0,260,29,0.4,female,10,12,8
F0,271,29,1,female,1,12,0
F0,272,29,1,female,2,12,8
F0,273,29,1,female,3,12,11
F0,274,29,1,female,4,12,0
F0,275,29,1,female,5,12,4
F0,276,29,1,female,6,12,4
F0,277,29,1,female,7,12,3
F0,278,29,1,female,8,12,2
F0,279,29,1,female,9,12,30
F0,280,29,1,female,10,12,2
F0,291,29,1.5,female,1,12,0
F0,292,29,1.5,female,2,12,8
