generation,vial_id,eggs,par_eff,par_temp,par_diet,rep,age
F1,48,33,mat,27,1.5,b,18
F1,51,66,mat,29,0.4,a,18
F1,52,41,mat,29,0.4,b,18
F1,55,52,mat,29,1,a,18
F1,56,83,mat,29,1,b,18
F1,59,30,mat,29,1.5,a,18
F1,60,38,mat,29,1.5,b,18
F1,63,71,pat,21,0.4,a,18
F1,64,91,pat,21,0.4,b,18
F1,67,54,pat,21,1,a,18
F1,68,110,pat,21,1,b,18
F1,71,69,pat,21,1.5,a,18
F1,72,24,pat,21,1.5,b,18
F1,75,45,pat,23,0.4,a,18
F1,76,116,pat,23,0.4,b,18
F1,79,25,pat,23,1,a,18
F1,80,32,pat,23,1,b,18
F1,83,43,pat,23,1.5,a,18
F1,84,29,pat,23,1.5,b,18
F1,87,7,pat,25,0.4,a,18
F1,88,4,pat,25,0.4,b,18
F1,91,81,pat,25,1,a,18
F1,92,8,pat,25,1,b,18
F1,95,58,pat,25,1.5,a,18
F1,96,29,pat,25,1.5,b,18
F1,99,37,pat,27,0.4,a,18
F1,100,44,pat,27,0.4,b,18
F1,103,91,pat,27,1,a,18
F1,104,75,pat,27,1,b,18
F1,107,100,pat,27,1.5,a,18
F1,108,25,pat,27,1.5,b,18
F1,111,26,pat,29,0.4,a,18
F1,112,109,pat,29,0.4,b,18
F1,115,27,pat,29,1,a,18
F1,116,5,pat,29,1,b,18
F1,119,15,pat,29,1.5,a,18
F1,120,93,pat,29,1.5,b,18
F1,3,10,mat,21,0.4,a,25
F1,4,7,mat,21,0.4,b,25
F1,7,6,mat,21,1,a,25
F1,8,33,mat,21,1,b,25
F1,11,7,mat,21,1.5,a,25
F1,12,3,mat,21,1.5,b,25
F1,15,4,mat,23,0.4,a,25
F1,16,2,mat,23,0.4,b,25
F1,19,20,mat,23,1,a,25
F1,20,6,mat,23,1,b,25
F1,23,4,mat,23,1.5,a,25
F1,24,4,mat,23,1.5,b,25
F1,27,1,mat,25,0.4,a,25
F1,28,48,mat,25,0.4,b,25
F1,31,3,mat,25,1,a,25
F1,32,3,mat,25,1,b,25
F1,35,0,mat,25,1.5,a,25
F1,36,26,mat,25,1.5,b,25
F1,39,10,mat,27,0.4,a,25
F1,40,1,mat,27,0.4,b,25
F1,43,0,mat,27,1,a,25
F1,44,3,mat,27,1,b,25
F1,47,19,mat,27,1.5,a,25
F1,48,4,mat,27,1.5,b,25
F1,51,2,mat,29,0.4,a,25
F1,52,0,mat,29,0.4,b,25
F1,55,10,mat,29,1,a,25
F1,56,0,mat,29,1,b,25
F1,59,4,mat,29,1.5,a,25
F1,60,1,mat,29,1.5,b,25
F1,63,27,pat,21,0.4,a,25
F1,64,37,pat,21,0.4,b,25
F1,67,18,pat,21,1,a,25
F1,68,2,pat,21,1,b,25
F1,71,3,pat,21,1.5,a,25
F1,72,0,pat,21,1.5,b,25
F1,75,43,pat,23,0.4,a,25
F1,76,27,pat,23,0.4,b,25
F1,79,0,pat,23,1,a,25
F1,80,0,pat,23,1,b,25
F1,83,7,pat,23,1.5,a,25
F1,84,0,pat,23,1.5,b,25
F1,87,5,pat,25,0.4,a,25
F1,88,5,pat,25,0.4,b,25
F1,91,0,pat,25,1,a,25
F1,92,2,pat,25,1,b,25
F1,95,2,pat,25,1.5,a,25
F1,96,9,pat,25,1.5,b,25
F1,99,13,pat,27,0.4,a,25
F1,100,2,pat,27,0.4,b,25
F1,104,11,pat,27,1,a,25
F1,103,14,pat,27,1,b,25
F1,107,34,pat,27,1.5,a,25
F1,108,1,pat,27,1.5,b,25
F1,111,2,pat,29,0.4,a,25
F1,112,2,pat,29,0.4,b,25
F1,115,3,pat,29,1,a,25
F1,116,5,pat,29,1,b,25
F1,119,0,pat,29,1.5,a,25
F1,120,1,pat,29,1.5,b,25
F1,3,0,mat,21,0.4,a,32
F1,4,68,mat,21,0.4,b,32
F1,7,20,mat,21,1,a,32
F1,8,75,mat,21,1,b,32
F1,11,68,mat,21,1.5,a,32
F1,12,104,mat,21,1.5,b,32
F1,15,76,mat,23,0.4,a,32
F1,16,53,mat,23,0.4,b,32
F1,19,53,mat,23,1,a,32
F1,20,57,mat,23,1,b,32
F1,23,46,mat,23,1.5,a,32
F1,24,58,mat,23,1.5,b,32
F1,27,87,mat,25,0.4,a,32
F1,28,43,mat,25,0.4,b,32
F1,31,37,mat,25,1,a,32
F1,32,128,mat,25,1,b,32
F1,35,38,mat,25,1.5,a,32
F1,36,13,mat,25,1.5,b,32
F1,39,68,mat,27,0.4,a,32
F1,40,34,mat,27,0.4,b,32
F1,43,62,mat,27,1,a,32
F1,44,0,mat,27,1,b,32
F1,47,21,mat,27,1.5,a,32
F1,48,20,mat,27,1.5,b,32
F1,51,26,mat,29,0.4,a,32
F1,52,21,mat,29,0.4,b,32
F1,55,78,mat,29,1,a,32
F1,56,113,mat,29,1,b,32
F1,59,4,mat,29,1.5,a,32
F1,60,88,mat,29,1.5,b,32
F1,63,84,pat,21,0.4,a,32
F1,64,52,pat,21,0.4,b,32
F1,67,42,pat,21,1,a,32
F1,68,34,pat,21,1,b,32
F1,71,0,pat,21,1.5,a,32
F1,72,28,pat,21,1.5,b,32
F1,75,10,pat,23,0.4,a,32
F1,76,10,pat,23,0.4,b,32
F1,79,51,pat,23,1,a,32
F1,80,21,pat,23,1,b,32
F1,83,8,pat,23,1.5,a,32
F1,84,42,pat,23,1.5,b,32
F1,87,91,pat,25,0.4,a,32
F1,88,103,pat,25,0.4,b,32
F1,91,44,pat,25,1,a,32
F1,92,56,pat,25,1,b,32
F1,95,0,pat,25,1.5,a,32
F1,96,65,pat,25,1.5,b,32
F1,99,63,pat,27,0.4,a,32
F1,100,48,pat,27,0.4,b,32
F1,103,111,pat,27,1,a,32
F1,104,66,pat,27,1,b,32
F1,107,112,pat,27,1.5,a,32
F1,108,49,pat,27,1.5,b,32
F1,111,7,pat,29,0.4,a,32
F1,112,5,pat,29,0.4,b,32
F1,115,8,pat,29,1,a,32
F1,116,83,pat,29,1,b,32
F1,119,86,pat,29,1.5,a,32
F1,120,31,pat,29,1.5,b,32
