generation,parental_effects,parental_temp,parental_diet,replicate_vial,male_id,date,time_in,start_mating,end_mating,mated,latency_to_mate,mating_duration
F3,mat,21,0.4,a,1,6/08/2019,9:04,9:59,10:27,yes,55,28
F3,mat,21,0.4,b,2,6/08/2019,9:04,9:13,9:34,yes,9,21
F3,mat,21,0.4,a,3,6/08/2019,9:04,,,no,,
F3,mat,21,0.4,b,4,6/08/2019,9:04,9:30,9:46,yes,26,16
F3,mat,21,0.4,a,5,6/08/2019,9:04,11:50,12:10,yes,166,20
F3,mat,21,0.4,b,6,6/08/2019,9:04,,,no,,
F3,mat,21,0.4,a,7,6/08/2019,9:04,9:12,9:28,yes,8,16
F3,mat,21,0.4,b,8,6/08/2019,9:03,9:25,9:38,yes,22,13
F3,mat,21,0.4,a,9,6/08/2019,9:03,9:15,9:29,yes,12,14
F3,mat,21,0.4,b,10,6/08/2019,10:15,11:27,11:44,yes,72,17
F3,mat,21,0.4,a,11,6/08/2019,9:03,,,no,,
F3,mat,21,0.4,b,12,6/08/2019,9:03,9:50,10:17,yes,47,27
F3,mat,21,0.4,a,13,6/08/2019,9:03,,,no,,
F3,mat,21,0.4,b,14,6/08/2019,9:03,10:25,10:49,yes,82,24
F3,mat,21,1.5,a,1,6/08/2019,9:24,10:18,10:40,yes,54,22
F3,mat,21,1.5,b,2,6/08/2019,9:24,9:35,9:54,yes,11,19
F3,mat,21,1.5,a,3,6/08/2019,9:24,9:27,9:54,yes,3,27
F3,mat,21,1.5,b,4,6/08/2019,9:24,9:46,10:04,yes,22,18
F3,mat,21,1.5,a,5,6/08/2019,9:24,10:31,10:49,yes,67,18
F3,mat,21,1.5,b,6,6/08/2019,9:25,9:42,10:02,yes,17,20
F3,mat,21,1.5,a,7,6/08/2019,9:25,9:43,10:02,yes,18,19
F3,mat,21,1.5,b,8,6/08/2019,9:25,9:51,10:11,yes,26,20
F3,mat,21,1.5,a,9,6/08/2019,9:25,10:18,10:40,yes,53,22
F3,mat,21,1.5,b,10,6/08/2019,9:25,9:51,10:13,yes,26,22
F3,mat,21,1.5,a,11,6/08/2019,9:25,11:42,12:00,yes,137,18
F3,mat,21,1.5,b,12,6/08/2019,9:25,10:08,10:26,yes,43,18
F3,mat,21,1.5,a,13,6/08/2019,9:25,9:38,9:59,yes,13,21
F3,mat,21,1.5,b,14,6/08/2019,9:25,10:26,10:47,yes,61,21
F3,mat,25,0.4,a,1,6/08/2019,9:18,10:15,10:34,yes,57,19
F3,mat,25,0.4,b,2,6/08/2019,9:18,,,no,,
F3,mat,25,0.4,a,3,6/08/2019,9:18,9:58,10:17,yes,40,19
F3,mat,25,0.4,b,4,6/08/2019,9:18,10:06,10:30,yes,48,24
F3,mat,25,0.4,a,5,6/08/2019,9:18,,,no,,
F3,mat,25,0.4,b,6,6/08/2019,9:18,10:54,11:13,yes,96,19
F3,mat,25,0.4,a,7,6/08/2019,9:18,9:39,9:59,yes,21,20
F3,mat,25,0.4,b,8,6/08/2019,9:21,9:38,9:58,yes,17,20
F3,mat,25,0.4,a,9,6/08/2019,9:21,10:34,10:55,yes,73,21
F3,mat,25,0.4,b,10,6/08/2019,9:21,9:46,10:10,yes,25,24
F3,mat,25,0.4,a,11,6/08/2019,9:21,9:49,10:16,yes,28,27
F3,mat,25,0.4,b,12,6/08/2019,9:21,10:16,10:31,yes,55,15
F3,mat,25,0.4,a,13,6/08/2019,9:21,9:38,9:53,yes,17,15
F3,mat,25,0.4,b,14,6/08/2019,9:21,10:30,10:52,yes,69,22
F3,mat,25,1.5,a,1,6/08/2019,9:14,,,no,,
F3,mat,25,1.5,b,2,6/08/2019,9:14,9:36,9:59,yes,22,23
F3,mat,25,1.5,a,3,6/08/2019,9:14,9:59,10:20,yes,45,21
F3,mat,25,1.5,b,4,6/08/2019,9:14,9:30,9:45,yes,16,15
F3,mat,25,1.5,a,5,6/08/2019,9:59,10:36,11:02,yes,37,26
F3,mat,25,1.5,b,6,6/08/2019,9:14,,,no,,
F3,mat,25,1.5,a,7,6/08/2019,9:14,11:55,12:15,yes,161,20
F3,mat,25,1.5,b,8,6/08/2019,8:58,,,no,,
F3,mat,25,1.5,a,9,6/08/2019,9:17,10:40,11:01,yes,83,21
F3,mat,25,1.5,b,10,6/08/2019,9:17,10:10,10:31,yes,53,21
F3,mat,25,1.5,a,11,6/08/2019,9:17,9:37,9:59,yes,20,22
F3,mat,25,1.5,b,12,6/08/2019,9:17,,,no,,
F3,mat,25,1.5,a,13,6/08/2019,9:17,9:43,10:10,yes,26,27
F3,mat,25,1.5,b,14,6/08/2019,9:17,9:34,9:54,yes,17,20
F3,mat,29,0.4,a,1,6/08/2019,9:14,9:44,10:01,yes,30,17
F3,mat,29,0.4,b,2,6/08/2019,9:14,9:37,9:59,yes,23,22
F3,mat,29,0.4,a,3,6/08/2019,9:14,9:36,10:57,yes,22,81
F3,mat,29,0.4,b,4,6/08/2019,9:14,9:49,10:17,yes,35,28
F3,mat,29,0.4,a,5,6/08/2019,9:14,10:01,10:20,yes,47,19
F3,mat,29,0.4,b,6,6/08/2019,9:14,9:52,10:17,yes,38,25
F3,mat,29,0.4,a,7,6/08/2019,9:14,9:30,9:49,yes,16,19
F3,mat,29,0.4,b,8,6/08/2019,9:07,9:26,9:42,yes,19,16
F3,mat,29,0.4,a,9,6/08/2019,9:07,9:20,9:36,yes,13,16
F3,mat,29,0.4,b,10,6/08/2019,9:07,,,no,,
F3,mat,29,0.4,a,11,6/08/2019,9:07,10:03,10:27,yes,56,24
F3,mat,29,0.4,b,12,6/08/2019,9:07,,,no,,
F3,mat,29,0.4,a,13,6/08/2019,9:07,9:26,9:36,yes,19,10
F3,mat,29,0.4,b,14,6/08/2019,9:07,9:30,9:46,yes,23,16
F3,mat,29,1.5,a,1,6/08/2019,8:55,10:10,10:34,yes,75,24
F3,mat,29,1.5,b,2,6/08/2019,8:55,9:09,9:31,yes,14,22
F3,mat,29,1.5,a,3,6/08/2019,8:55,9:07,9:31,yes,12,24
F3,mat,29,1.5,b,4,6/08/2019,8:55,9:07,9:26,yes,12,19
F3,mat,29,1.5,a,5,6/08/2019,8:55,9:32,9:50,yes,37,18
F3,mat,29,1.5,b,6,6/08/2019,8:55,9:42,10:04,yes,47,22
F3,mat,29,1.5,a,7,6/08/2019,8:55,9:07,9:31,yes,12,24
F3,mat,29,1.5,b,8,6/08/2019,8:55,9:11,9:23,yes,16,12
F3,mat,29,1.5,a,9,6/08/2019,8:55,10:08,10:29,yes,73,21
