generation,parental_effects,parental_temp,parental_diet,replicate_vial,male_id,date,time_in,start_mating,end_mating,mated,latency_to_mate,mating_duration
F2,pat,21,1.5,a,13,6/08/2019,10:17,10:56,11:28,yes,39,32
F2,pat,21,1.5,b,14,6/08/2019,10:17,10:32,10:50,yes,15,18
F2,pat,25,0.4,a,1,6/08/2019,10:08,10:17,10:35,yes,9,18
F2,pat,25,0.4,b,2,6/08/2019,10:08,12:15,12:20,yes,127,5
F2,pat,25,0.4,a,3,6/08/2019,10:08,10:26,10:53,yes,18,27
F2,pat,25,0.4,b,4,6/08/2019,10:08,,,no,,
F2,pat,25,0.4,a,5,6/08/2019,10:08,10:50,11:05,yes,42,15
F2,pat,25,0.4,b,6,6/08/2019,10:08,,,no,,
F2,pat,25,0.4,a,7,6/08/2019,10:08,12:05,12:34,yes,117,29
F2,pat,25,0.4,b,8,6/08/2019,10:10,10:31,10:57,yes,21,26
F2,pat,25,0.4,a,9,6/08/2019,10:10,,,no,,
F2,pat,25,0.4,b,10,6/08/2019,10:10,10:16,10:31,yes,6,15
F2,pat,25,0.4,a,11,6/08/2019,10:10,,,no,,
F2,pat,25,0.4,b,12,6/08/2019,10:10,10:18,10:38,yes,8,20
F2,pat,25,0.4,a,13,6/08/2019,10:10,10:22,10:42,yes,12,20
F2,pat,25,0.4,b,14,6/08/2019,10:10,10:22,10:36,yes,12,14
F2,pat,25,1.5,a,1,6/08/2019,9:57,,,no,,
F2,pat,25,1.5,b,2,6/08/2019,9:57,,,no,,
F2,pat,25,1.5,a,3,6/08/2019,9:57,11:40,11:56,yes,103,16
F2,pat,25,1.5,b,4,6/08/2019,9:57,10:19,10:40,yes,22,21
F2,pat,25,1.5,a,5,6/08/2019,9:57,12:27,12:59,yes,150,32
F2,pat,25,1.5,b,6,6/08/2019,9:57,10:14,10:39,yes,17,25
F2,pat,25,1.5,a,7,6/08/2019,9:57,10:35,10:58,yes,38,23
F2,pat,25,1.5,b,8,6/08/2019,10:05,10:46,11:20,yes,41,34
F2,pat,25,1.5,a,9,6/08/2019,10:05,10:30,10:54,yes,25,24
F2,pat,25,1.5,b,10,6/08/2019,10:05,10:14,10:36,yes,9,22
F2,pat,25,1.5,a,11,6/08/2019,10:05,11:54,12:23,yes,109,29
F2,pat,25,1.5,b,12,6/08/2019,10:05,11:56,12:20,yes,111,24
F2,pat,25,1.5,a,13,6/08/2019,10:05,,,no,,
F2,pat,25,1.5,b,14,6/08/2019,10:05,10:30,10:55,yes,25,25
F2,pat,29,0.4,a,1,6/08/2019,10:03,10:35,10:53,yes,32,18
F2,pat,29,0.4,b,2,6/08/2019,10:03,11:40,12:01,yes,97,21
F2,pat,29,0.4,a,3,6/08/2019,10:03,10:58,11:28,yes,55,30
F2,pat,29,0.4,b,4,6/08/2019,10:03,11:34,11:55,yes,91,21
F2,pat,29,0.4,a,5,6/08/2019,10:03,10:17,10:44,yes,14,27
F2,pat,29,0.4,b,6,6/08/2019,10:03,,,no,,
F2,pat,29,0.4,a,7,6/08/2019,10:03,10:13,10:37,yes,10,24
F2,pat,29,0.4,b,8,6/08/2019,10:04,10:17,10:41,yes,13,24
F2,pat,29,0.4,a,9,6/08/2019,10:04,11:58,12:22,yes,114,24
F2,pat,29,0.4,b,10,6/08/2019,10:04,12:08,12:29,yes,124,21
F2,pat,29,0.4,a,11,6/08/2019,10:04,10:12,10:29,yes,8,17
F2,pat,29,0.4,b,12,6/08/2019,10:04,11:11,11:33,yes,67,22
F2,pat,29,0.4,a,13,6/08/2019,10:04,10:39,11:08,yes,35,29
F2,pat,29,0.4,b,14,6/08/2019,10:04,10:32,10:59,yes,28,27
F2,pat,29,1.5,a,1,6/08/2019,10:06,10:15,10:39,yes,9,24
F2,pat,29,1.5,b,2,6/08/2019,10:06,10:19,10:43,yes,13,24
F2,pat,29,1.5,a,3,6/08/2019,10:06,10:25,10:46,yes,19,21
F2,pat,29,1.5,b,4,6/08/2019,10:06,10:25,10:43,yes,19,18
F2,pat,29,1.5,a,5,6/08/2019,10:06,10:57,11:24,yes,51,27
F2,pat,29,1.5,b,6,6/08/2019,10:06,10:27,10:48,yes,21,21
F2,pat,29,1.5,a,7,6/08/2019,10:06,,,no,,
F2,pat,29,1.5,b,8,6/08/2019,9:59,11:08,11:31,yes,69,23
F2,pat,29,1.5,a,9,6/08/2019,9:59,10:15,10:36,yes,16,21
F2,pat,29,1.5,b,10,6/08/2019,9:59,11:39,12:07,yes,100,28
F2,pat,29,1.5,a,11,6/08/2019,9:59,10:05,10:27,yes,6,22
F2,pat,29,1.5,b,12,6/08/2019,9:59,10:44,11:08,yes,45,24
F2,pat,29,1.5,a,13,6/08/2019,9:59,10:05,10:27,yes,6,22
F2,pat,29,1.5,b,14,6/08/2019,9:59,10:09,10:36,yes,10,27
