generation,parental_effects,parental_temp,parental_diet,replicate_vial,male_id,date,time_in,start_mating,end_mating,mated,latency_to_mate,mating_duration
F2,mat,21,0.4,a,1,6/08/2019,10:23,11:02,11:25,yes,39,23
F2,mat,21,0.4,b,2,6/08/2019,10:23,,,no,,
F2,mat,21,0.4,a,3,6/08/2019,10:23,,,no,,
F2,mat,21,0.4,b,4,6/08/2019,10:23,10:30,10:49,yes,7,19
F2,mat,21,0.4,a,5,6/08/2019,10:23,,,no,,
F2,mat,21,0.4,b,6,6/08/2019,10:23,,,no,,
F2,mat,21,0.4,a,7,6/08/2019,10:23,10:33,10:53,yes,10,20
F2,mat,21,0.4,b,8,6/08/2019,10:23,10:35,10:59,yes,12,24
F2,mat,21,0.4,a,9,6/08/2019,10:23,12:16,12:34,yes,113,18
F2,mat,21,0.4,b,10,6/08/2019,10:23,13:14,13:37,yes,171,23
F2,mat,21,0.4,a,11,6/08/2019,10:23,10:31,10:49,yes,8,18
F2,mat,21,0.4,b,12,6/08/2019,10:23,10:45,11:10,yes,22,25
F2,mat,21,0.4,a,13,6/08/2019,10:23,13:19,13:35,yes,176,16
F2,mat,21,0.4,b,14,6/08/2019,10:23,,,no,,
F2,mat,21,1.5,a,1,6/08/2019,10:26,11:19,11:40,yes,53,21
F2,mat,21,1.5,b,2,6/08/2019,10:26,11:53,12:13,yes,87,20
F2,mat,21,1.5,a,3,6/08/2019,10:26,11:19,11:37,yes,53,18
F2,mat,21,1.5,b,4,6/08/2019,10:26,,,no,,
F2,mat,21,1.5,a,5,6/08/2019,10:26,11:50,12:18,yes,84,28
F2,mat,21,1.5,b,6,6/08/2019,10:26,,,no,,
F2,mat,21,1.5,a,7,6/08/2019,10:26,,,no,,
F2,mat,21,1.5,b,8,6/08/2019,10:25,,,no,,
F2,mat,21,1.5,a,9,6/08/2019,10:25,12:23,12:47,yes,118,24
F2,mat,21,1.5,b,10,6/08/2019,10:25,10:43,11:12,yes,18,29
F2,mat,21,1.5,a,11,6/08/2019,10:25,11:53,12:12,yes,88,19
F2,mat,21,1.5,b,12,6/08/2019,10:25,10:52,11:15,yes,27,23
F2,mat,21,1.5,a,13,6/08/2019,10:25,,,no,,
F2,mat,21,1.5,b,14,6/08/2019,10:25,10:34,10:56,yes,9,22
F2,mat,25,0.4,a,1,6/08/2019,9:54,,,no,,
F2,mat,25,0.4,b,2,6/08/2019,9:54,10:35,10:55,yes,41,20
F2,mat,25,0.4,a,3,6/08/2019,9:54,,,no,,
F2,mat,25,0.4,b,4,6/08/2019,9:54,12:21,12:42,yes,147,21
F2,mat,25,0.4,a,5,6/08/2019,9:54,10:27,10:48,yes,33,21
F2,mat,25,0.4,b,6,6/08/2019,9:54,11:58,12:21,yes,124,23
F2,mat,25,0.4,a,7,6/08/2019,9:54,,,no,,
F2,mat,25,0.4,b,8,6/08/2019,9:53,10:02,10:27,yes,9,25
F2,mat,25,0.4,a,9,6/08/2019,9:53,,,no,,
F2,mat,25,0.4,b,10,6/08/2019,9:53,11:48,12:15,yes,115,27
F2,mat,25,0.4,a,11,6/08/2019,9:53,10:06,10:33,yes,13,27
F2,mat,25,0.4,b,12,6/08/2019,9:53,12:13,12:42,yes,140,29
F2,mat,25,0.4,a,13,6/08/2019,9:53,11:04,11:28,yes,71,24
F2,mat,25,0.4,b,14,6/08/2019,9:53,12:27,12:47,yes,154,20
F2,mat,25,1.5,a,1,6/08/2019,9:56,10:29,10:53,yes,33,24
F2,mat,25,1.5,b,2,6/08/2019,9:56,10:03,10:52,yes,7,49
F2,mat,25,1.5,a,3,6/08/2019,9:56,,,no,,
F2,mat,25,1.5,b,4,6/08/2019,10:43,12:14,12:39,yes,91,25
F2,mat,25,1.5,a,5,6/08/2019,9:56,12:05,12:30,yes,129,25
F2,mat,25,1.5,b,6,6/08/2019,9:56,12:08,12:26,yes,132,18
F2,mat,25,1.5,a,7,6/08/2019,9:56,10:10,10:37,yes,14,27
F2,mat,25,1.5,b,8,6/08/2019,9:55,,,no,,
F2,mat,25,1.5,a,9,6/08/2019,9:55,11:31,11:55,yes,96,24
F2,mat,25,1.5,b,10,6/08/2019,9:55,11:06,11:29,yes,71,23
F2,mat,25,1.5,a,11,6/08/2019,9:55,12:22,12:46,yes,147,24
F2,mat,25,1.5,b,12,6/08/2019,9:55,,,no,,
F2,mat,25,1.5,a,13,6/08/2019,9:55,,,no,,
F2,mat,25,1.5,b,14,6/08/2019,9:55,,,no,,
F2,mat,29,0.4,a,1,6/08/2019,10:27,10:45,11:10,yes,18,25
F2,mat,29,0.4,b,2,6/08/2019,10:27,11:52,12:20,yes,85,28
F2,mat,29,0.4,a,3,6/08/2019,10:27,,,no,,
F2,mat,29,0.4,b,4,6/08/2019,10:27,11:03,11:28,yes,36,25
F2,mat,29,0.4,a,5,6/08/2019,10:27,,,no,,
F2,mat,29,0.4,b,6,6/08/2019,10:27,12:13,12:39,yes,106,26
F2,mat,29,0.4,a,7,6/08/2019,10:27,10:59,11:22,yes,32,23
F2,mat,29,0.4,b,8,6/08/2019,10:28,10:35,10:58,yes,7,23
F2,mat,29,0.4,a,9,6/08/2019,10:28,,,no,,
F2,mat,29,0.4,b,10,6/08/2019,10:28,,,no,,
F2,mat,29,0.4,a,11,6/08/2019,10:28,10:37,10:58,yes,9,21
F2,mat,29,0.4,b,12,6/08/2019,10:28,10:51,11:17,yes,23,26
F2,mat,29,0.4,a,13,6/08/2019,10:28,10:54,11:19,yes,26,25
F2,mat,29,0.4,b,14,6/08/2019,10:28,11:32,11:57,yes,64,25
F2,mat,29,1.5,a,1,6/08/2019,10:31,,,no,,
F2,mat,29,1.5,b,2,6/08/2019,10:31,11:33,12:00,yes,62,27
F2,mat,29,1.5,a,3,6/08/2019,10:31,11:42,12:11,yes,71,29
F2,mat,29,1.5,b,4,6/08/2019,10:31,10:40,11:04,yes,9,24
F2,mat,29,1.5,a,5,6/08/2019,10:31,10:37,11:01,yes,6,24
F2,mat,29,1.5,b,6,6/08/2019,10:31,11:00,11:30,yes,29,30
F2,mat,29,1.5,a,7,6/08/2019,10:31,10:42,11:04,yes,11,22
F2,mat,29,1.5,b,8,6/08/2019,10:31,10:53,11:05,yes,22,12
F2,mat,29,1.5,a,9,6/08/2019,10:31,12:27,12:53,yes,116,26
F2,mat,29,1.5,b,10,6/08/2019,10:31,10:47,11:07,yes,16,20
F2,mat,29,1.5,a,11,6/08/2019,10:31,,,no,,
F2,mat,29,1.5,b,12,6/08/2019,10:31,13:15,13:34,yes,164,19
F2,mat,29,1.5,a,13,6/08/2019,10:31,10:41,11:12,yes,10,31
F2,mat,29,1.5,b,14,6/08/2019,10:31,10:40,11:00,yes,9,20
F2,pat,21,0.4,a,1,6/08/2019,10:19,10:46,11:16,yes,27,30
F2,pat,21,0.4,b,2,6/08/2019,10:19,10:53,11:16,yes,34,23
F2,pat,21,0.4,a,3,6/08/2019,10:19,11:09,11:30,yes,50,21
F2,pat,21,0.4,b,4,6/08/2019,10:19,11:42,12:06,yes,83,24
F2,pat,21,0.4,a,5,6/08/2019,10:19,,,no,,
F2,pat,21,0.4,b,6,6/08/2019,10:19,,,no,,
F2,pat,21,0.4,a,7,6/08/2019,10:19,,,no,,
F2,pat,21,0.4,b,8,6/08/2019,10:19,11:17,11:48,yes,58,31
F2,pat,21,0.4,a,9,6/08/2019,10:19,13:00,13:21,yes,161,21
F2,pat,21,0.4,b,10,6/08/2019,10:19,10:51,11:21,yes,32,30
F2,pat,21,0.4,a,11,6/08/2019,10:19,10:29,10:51,yes,10,22
F2,pat,21,0.4,b,12,6/08/2019,10:19,10:48,10:56,yes,29,8
F2,pat,21,0.4,a,13,6/08/2019,10:19,,,no,,
F2,pat,21,0.4,b,14,6/08/2019,10:19,,,no,,
F2,pat,21,1.5,a,1,6/08/2019,10:17,,,no,,
F2,pat,21,1.5,b,2,6/08/2019,10:17,10:45,11:14,yes,28,29
F2,pat,21,1.5,a,3,6/08/2019,10:17,10:23,10:41,yes,6,18
F2,pat,21,1.5,b,4,6/08/2019,10:17,12:14,12:32,yes,117,18
F2,pat,21,1.5,a,5,6/08/2019,10:17,10:26,10:46,yes,9,20
F2,pat,21,1.5,b,6,6/08/2019,10:17,11:54,12:20,yes,97,26
F2,pat,21,1.5,a,7,6/08/2019,10:17,10:55,11:15,yes,38,20
F2,pat,21,1.5,b,8,6/08/2019,10:17,11:43,12:14,yes,86,31
F2,pat,21,1.5,a,9,6/08/2019,10:17,10:32,10:47,yes,15,15
F2,pat,21,1.5,b,10,6/08/2019,10:17,10:24,10:49,yes,7,25
F2,pat,21,1.5,a,11,6/08/2019,10:17,10:26,10:49,yes,9,23
F2,pat,21,1.5,b,12,6/08/2019,10:17,12:39,13:13,yes,142,34
